"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"364 Treffer gefunden für nftxt = ""machine vise"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 364 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"201";"MACHINIST{3 S PARALLELS";"VIOLLET GERARD J";"VIOLLET GERARD J";"US3575406A";"1968-07-02";"B23Q3/10 
B23Q3/18 
B23Q3/10";"B23Q3/10 (EP,US)";"1971-04-20";"1971-04-20";"025017712";
"202";"Kein Titel verfügbar";"";"";"JPS5639210U";"1979-09-04";"B27F1/00 
B27F1/00 
B27F1/08";"";"1981-04-13";"1981-04-13";"029354597";
"203";"HIGH-PRESSURE CLAMPING DEVICE";"RUUTOBUIHI KURAUZE";"SAURER ALLMA GMBH";"JPH0367836B2 
JPS6195881A";"1984-10-12";"B25B1/10 
B25B1/18 
B23Q3/06 
B25B1/10 
B25B1/12 
B25B1/18";"B23Q3/06 (KR) 
B25B1/106 (EP,US) 
B25B1/18 (KR)";"1986-05-14 
1991-10-24";"1986-04-10";"006247695";
"204";"Kein Titel verfügbar";"";"";"US427961A";"";"";"B26B23/00 (EP,US)";"1890-05-13";"1890-05-13";"002496871";
"205";"MACHINE TOOL VICE";"EGOROV EVGENIJ F";"LE SP K B TYAZHELYKH UNIKALNYK [SU]";"SU630067A1";"1975-04-28";"B23Q3/06 
B25B1/18 
B25B1/18 
B23Q3/06";"";"1978-10-30";"1978-10-30";"020617535";
"206";"PART POSITIONING DEVICE";"NOSKOV EVGENIJ A [RU]";"NOSKOV EVGENIJ A [RU]";"RU2022756C1";"1991-08-12";"B23Q3/00 
B23Q3/00";"";"1994-11-15";"1994-11-15";"021584601";
"207";"VISE.";"FEGLEY THOMAS J [US] 
LEOPOLD GEORGE O [US]";"NORTH BROS MFG CO [US]";"US1144828A";"1915-01-20";"";"B25B1/103 (EP,US)";"1915-06-29";"1915-06-29";"003212917";
"208";"Spannantrieb, insbesondere für Maschinenschraubstöcke.";"MILZ PANKRAZ [DE]";"SAURER ALLMA GMBH [DE]";"EP0525501A1 
EP0525501B1";"1991-08-02";"B25B1/10 
B25B1/10";"B25B1/00 (KR) 
B25B1/106 (EP)";"1993-02-03 
1995-08-30";"1993-02-03";"006437548";
"209";"MILLING TOOL FOR ADJUSTING INCLINATION";"LEE JAE-WOONG [KR]";"POSCO [KR] 
RIST [KR]";"KR960020455U 
KR970003153Y1";"1994-12-24";"B23C9/00 
B23C9/00";"B23C9/00 (KR)";"1996-07-18 
1997-04-14";"1996-07-18";"019402691";
"210";"Follow-up precision jaw vice";"XU CHANGXIANG [CN]";"XU CHANGXIANG [CN]";"CN1422725A";"2001-12-03";"B23Q3/06 
B25B1/10 
B23Q3/06 
B25B1/10";"";"2003-06-11";"2003-06-11";"004669971";
"211";"Kein Titel verfügbar";"";"";"JPS4982396U 
JPS5257509Y2";"1972-11-07";"B25B1/24 
B25B1/24";"";"1974-07-17 
1977-12-27";"1974-07-17";"028383784";
"212";"Vise";"YANG TAI-HER [TW]";"YANG TAI HER [TW]";"US4971301A";"1987-12-16";"B25B1/10 
B25B1/24";"B25B1/2436 (EP,US) 
B25B1/2447 (EP,US) 
B25B1/2489 (EP,US)";"1990-11-20";"1990-11-20";"022459690";
"213";"Pressure indicator for hack saws";"SHORTELL WILLIAM H";"MILLERS FALLS CO";"US2381988A";"1944-03-28";"B23D51/20 
B23D59/00";"B23D51/20 (EP,US) 
B23D59/001 (EP,US) 
Y10T83/852 (EP,US) 
Y10T83/8876 (EP,US)";"1945-08-14";"1945-08-14";"024105503";
"214";"Workbench, Especially a Teaching Aid in the Form of an Ergonomically Designed Multi-Purpose Workbench";"THORMEIER KLAUS [DE]";"THORMEIER KLAUS [DE]";"CA2160254A1 
CA2160254C";"1993-04-10";"B25H1/08 
B25H1/08 
B25H1/10";"B25H1/08 (EP,US) 
B25H1/10 (EP,US) 
Y10S269/90 (EP,US)";"1994-10-27 
1998-09-22";"1994-10-13";"006485323";
"215";"Vise";"OLSON JOHN A";"";"US1375928A";"1919-09-20";"B25B1/18";"B25B1/18 (EP,US)";"1921-04-26";"1921-04-26";"023267045";
"216";"Angle vise jaw";"IWANIK JERZY [US]";"";"US2002008344A1";"2000-07-19";"B25B1/24 
B25B1/24";"B25B1/2452 (EP,US) 
B25B1/2463 (EP,US)";"2002-01-24";"2002-01-24";"026914267";
"217";"Kein Titel verfügbar";"";"";"JPS4895352A";"1972-03-18";"B21D11/14";"";"1973-12-07";"1973-12-07";"012234223";
"218";"Auxiliary jaws selectively attachable to confronting and upper surfaces of vise jaws";"BRETTRAGER HENRY J";"";"US2770156A";"1955-07-18";"B25B1/24";"B25B1/2452 (EP,US) 
B25B1/2463 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2494 (EP,US)";"1956-11-13";"1956-11-13";"024082231";
"219";"Combined jaw vice and spherical wedge pit butt locating pair";"XU CHANGXIANG [CN]";"XU CHANGXIANG [CN]";"CN1422724A";"2001-12-03";"B23Q3/00 
B25B1/00 
B23Q3/00 
B25B1/00";"";"2003-06-11";"2003-06-11";"004669970";
"220";"Vise clamp";"KUBAN WILLIAM G";"KURT MFG COMPANY";"US3397880A";"1966-05-10";"B25B1/10";"B25B1/10 (EP,US)";"1968-08-20";"1968-08-20";"024191068";
"221";"Kein Titel verfügbar";"";"";"JPS5213594U";"1975-07-17";"B23B35/00 
B23B35/00 
B23B47/28";"";"1977-01-31";"1977-01-31";"028581584";
"222";"Improvements in vises";"";"GEORGE HENRY BUCKLEY";"GB177244A";"1920-12-21";"B25B1/12 
B25B1/24";"B25B1/125 (EP) 
B25B1/2489 (EP)";"1922-03-21";"1922-03-21";"010382153";
"223";"Clamping method and system for fixing workpieces";"LANG GUENTER [DE]";"";"US6530567B1";"1998-04-11";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/241 (EP,US)";"2003-03-11";"1999-10-21";"007864374";
"224";"LINEAR ACTION - WORKHOLDING ""CLAMP""";"BHOGAL SARDOOL [CA]";"BHOGAL SARDOOL [CA]";"CA2080848A1";"1992-10-19";"B23Q3/08 
B25B5/10 
B25B5/08 
B25B5/16";"B25B5/08 (EP) 
B25B5/163 (EP)";"1994-04-20";"1994-04-20";"004150567";
"225";"Kein Titel verfügbar";"";"";"JPH0586372U";"1992-04-24";"A63B59/06 
A63B59/51 
A63B102/18";"";"1993-11-22";"1993-11-22";"012400372";
"226";"Kein Titel verfügbar";"";"";"JPS4874384U 
JPS5241191Y2";"1971-12-20";"B23D53/04 
B23D53/04 
B26D7/22";"";"1973-09-14 
1977-09-17";"1973-09-14";"028031421";
"227";"Magnetic insert in jaw plate for holding vise parallels";"WOLFE INGO E [US]";"KURT MFG CO INC [US]";"US6361034B1";"1999-03-03";"B25B11/00 
B25B1/24";"B25B1/2463 (EP,US)";"2002-03-26";"2002-03-26";"022993359";
"228";"Universal workholding attachment for vises";"NEAL WILLIAM H";"";"US1936968A";"1932-11-09";"B23Q1/54 
B25B1/24";"B23Q1/545 (EP,US) 
B25B1/2452 (EP,US) 
Y10S409/903 (EP,US)";"1933-11-28";"1933-11-28";"024574336";
"229";"Compound jaw plate";"DENARO JAMES J [US]";"DENARO JAMES J";"US4411415A";"1981-06-12";"B23Q3/02 
B25B1/24";"B25B1/2473 (EP,US)";"1983-10-25";"1983-10-25";"023043097";
"230";"Dovetail with locking teeth";"GARRISON ARTHUR L [US]";"";"US2003175075A1";"2002-03-15";"B25G3/08 
B23Q1/00 
B23Q16/08";"B23Q1/0063 (EP,US) 
B23Q16/08 (EP,US) 
F16B2200/30 (EP,US)";"2003-09-18";"2003-09-18";"028039306";
"231";"Kein Titel verfügbar";"";"";"JPS5672656U";"1979-11-08";"B25B1/18 
B25B1/18 
B25B1/24";"";"1981-06-15";"1981-06-15";"029384804";
"232";"Kein Titel verfügbar";"";"";"JPH0724559U";"1993-10-14";"B23Q3/06 
B25B1/24 
B23Q3/06 
B25B1/24";"";"1995-05-09";"1995-05-09";"013002009";
"233";"Kein Titel verfügbar";"";"";"JPS4971979U 
JPS5222777Y2";"1972-10-05";"B65G19/02 
B65G47/22 
B65G47/88 
B65G47/12 
B65G47/90 
B65G59/08 
B65G19/02 
B65G47/12 
B65G47/22 
B65G47/30 
B65G47/53 
B65G47/88 
B65G47/90 
B65G59/08";"";"1974-06-21 
1977-05-25";"1974-06-21";"028346455";
"234";"Kein Titel verfügbar";"";"";"JPS54143485U";"1978-03-30";"B23Q3/06 
B25B1/18 
B23Q3/06 
B25B1/02 
B25B1/18";"";"1979-10-04";"1979-10-04";"028908075";
"235";"СТАНОК ДЛЯ РАДИАЛЬНО-ПЕРЕКРЕСТНОЙ НАМОТКИ КОМПОЗИТНЫХ ИЗДЕЛИЙ";"";"";"RU3417U1";"1995-10-30";"B29C53/66";"";"1997-01-16";"1997-01-16";"048265664";
"236";"Vise or clamp sequentially actuated by screw and hydraulic ram";"VICKERS CARROLL B";"";"US2492338A";"1946-06-05";"B25B1/18";"B25B1/18 (EP,US)";"1949-12-27";"1949-12-27";"024706991";
"237";"Vise jaws for clamping workpieces at an angle";"WEAVER BRIAN K [US] 
MARSHALL JOSEPH V [US] 
MARSHALL JR JOSEPH V [US]";"DIVERSIFIED MACHINING INC [US]";"US2002096813A1 
US6464216B2";"2001-01-23";"B25B1/24 
B23Q1/04 
B25B1/24";"B25B1/2463 (EP,US)";"2002-07-25 
2002-10-15";"2002-07-25";"025079312";
"238";"Combination vise";"LENZ JOHN O [US]";"KURT MFG CO [US]";"US4413818A";"1981-08-24";"B23Q1/04 
B25B1/24";"B25B1/24 (EP,US) 
B25B1/2484 (EP,US)";"1983-11-08";"1983-11-08";"023139012";
"239";"Soft jaw for a machine vise";"ENGIBAROV EDDY [US]";"";"US6126158A";"1998-11-23";"B23Q3/02 
B25B5/08";"B25B5/08 (EP,US)";"2000-10-03";"2000-10-03";"022732397";
"240";"Jamming clamp";"HEPING CHEN [CN]";"CHEN HEPING [CN]";"CN2227001Y";"1994-12-30";"B26B1/10 
B26B1/10";"";"1996-05-15";"1996-05-15";"033853804";
"241";"Kein Titel verfügbar";"";"";"US419885A";"";"";"B25B1/2421 (EP,US)";"1890-01-21";"1890-01-21";"002488804";
"242";"MACHINE VICE";"TAKASUGI TAMOTSU";"TAKASUGI TAMOTSU";"JPS5565043A 
JPS6023950B2";"1978-11-01";"B23Q3/06 
B23Q3/06 
B25B1/02 
B25B1/24";"";"1980-05-16 
1985-06-10";"1980-05-16";"015151019";
"243";"Shaping and slotting machines";"RAJ KOCHAR";"CHIEF MECHANICAL ENGINEER OF C";"US3146677A";"1960-05-24";"B23D13/00";"B23D13/005 (EP,US) 
Y10T409/507052 (EP,US)";"1964-09-01";"1964-09-01";"010922564";
"244";"VISE.";"FEGLEY THOMAS J [US] 
LEOPOLD GEORGE O [US]";"NORTH BROS MFG CO [US]";"US1132320A";"1914-06-10";"";"B23Q3/00 (EP,US)";"1915-03-16";"1915-03-16";"003200442";
"245";"Kein Titel verfügbar";"";"";"US419072A";"";"";"B25B1/08 (EP,US)";"1890-01-07";"1890-01-07";"002487994";
"246";"Quick change jaw system";"STEINWALL RONALD C [US]";"PRAIRIE TECHNICAL IND INC [US]";"US6427995B1";"1999-04-26";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2452 (EP,US)";"2002-08-06";"2002-08-06";"026829073";
"247";"SUCTION TYPE FIXING DEVICE";"MATSUDA KENJI";"MATSUDA KENJI";"JPH068085A";"1992-04-02";"B23Q3/08 
B23Q3/08";"";"1994-01-18";"1994-01-18";"026413239";
"248";"Hydraulic vise";"OLSON ELMER T";"WILLIAM J RAWITZER";"US2693727A";"1953-07-20";"B25B1/18";"B25B1/18 (EP,US)";"1954-11-09";"1954-11-09";"023453340";
"249";"Hydraulic planar jaw used in machine";"ZHU SHUJUN [CN]";"ZHU SHUJUN [CN]";"CN2259965Y";"1995-07-27";"B23Q3/08 
B23Q3/08";"";"1997-08-20";"1997-08-20";"033880059";
"250";"Vise for holding workpieces";"WILHELM HAMMER";"";"US2818786A";"1953-11-25";"B25B1/08 
B25B1/10 
B25B1/14 
B25B1/24";"B25B1/08 (EP,US) 
B25B1/103 (EP,US) 
B25B1/14 (EP,US) 
B25B1/2473 (EP,US) 
Y10T74/19735 (EP,US)";"1958-01-07";"1958-01-07";"007998997";
"251";"Automatic chain-making machine";"JACOBSON BROR J";"MARTIN COPE LAND COMPANY";"US1476977A";"1920-07-03";"B21L11/00";"B21L11/005 (EP,US)";"1923-12-11";"1923-12-11";"023556521";
"252";"Efficient labour-saving plain vice";"XUXIN DAI [CN]";"DAI YUXIN [CN]";"CN2160502Y";"1993-05-20";"B25B1/10 
B25B1/10";"";"1994-04-06";"1994-04-06";"033811982";
"253";"Kein Titel verfügbar";"";"";"JPS4970585U 
JPS5226153Y2";"1972-10-04";"B23Q7/00 
B26D5/22 
B26D5/42 
B26D7/02 
B26D7/06 
B23D33/10 
B23Q7/00 
B26D5/22 
B26D5/26 
B26D5/42 
B26D7/02 
B26D7/06";"";"1974-06-19 
1977-06-14";"1974-06-19";"028345401";
"254";"Device for determining angles";"LOVENSTON HANS J";"";"US1551995A";"1919-09-08";"G01B5/24";"G01B5/242 (EP,US) 
Y10S409/903 (EP,US)";"1925-09-01";"1925-09-01";"023254686";
"255";"Milling machine vise lifter and storage apparatus";"SHOOK ROBERT E [US]";"SHOOK ROBERT E [US]";"US5110241A";"1991-06-11";"B23Q3/00 
B23Q3/10";"B23Q3/101 (EP,US) 
Y10T409/309576 (EP,US)";"1992-05-05";"1992-05-05";"024865474";
"256";"Hydraulic vise";"OLSEN ELMER THEODORE";"HUGH W VOGL 
CHARLES VOGL 
OTTO VOGL";"GB757939A";"1954-03-15";"B25B1/18";"B25B1/18 (EP)";"1956-09-26";"1956-09-26";"009834077";
"257";"Kein Titel verfügbar";"";"";"JPS49112022U";"1973-01-16";"E04G17/08 
E04G17/06";"";"1974-09-25";"1974-09-25";"028072303";
"258";"Haltevorrichtung beim Bespannen von Spielschlägern.";"BOSWORTH WARREN M JR 
MARTIN FRED E";"EKTELON [US]";"EP0165749A2 
EP0165749A3 
EP0165749B1";"1984-06-14";"A63B51/14 
A63B51/14";"A63B51/14 (EP,KR,US) 
Y10T24/44521 (EP,US)";"1985-12-27 
1986-12-30 
1990-03-07";"1985-10-15";"024486301";
"259";"Precision flat tongs";"SUN SHUHUA [CN]";"CHANGLI PREC MACHINERY CO LTD [CN]";"CN2526122Y";"2001-12-13";"B23Q3/06 
B23Q3/06";"";"2002-12-18";"2002-12-18";"033681666";
"260";"LOW SPEED ELECTRIC MOTOR";"JIASHENG XU [CN] 
LING XU [CN] 
HONG LI [CN]";"XU JIASHENG [CN]";"CN2155098Y";"1993-03-27";"H02K7/116 
H02K7/116";"";"1994-02-02";"1994-02-02";"033811686";
"261";"Vise jaw accessory system for attaching and releasing vise accessories while maintaining positional accuracy of the accessories";"DURFEE DAVID [US]";"DURFEE SUSAN M [US]";"US5065990A";"1986-12-15";"B25B1/24 
B25B1/24";"B25B1/24 (EP,US) 
B25B1/2452 (EP,US) 
B25B1/2463 (EP,US)";"1991-11-19";"1991-11-19";"024551093";
"262";"POWER HACKSAW VISE";"MITCHELL ALAN";"MITCHELL A";"AU6034573A";"1972-09-20";"B23D59/00 
B23D51/04";"B23D51/04 (EP)";"1975-03-20";"1975-03-20";"025632740";
"263";"WOODWORKING MACHINE";"MIYAMOTO KOUICHI";"RYOBI LTD";"JPS57165202A";"1981-04-06";"B27F1/00 
B27G5/00 
B27F1/00 
B27F1/08 
B27G5/00";"";"1982-10-12";"1982-10-12";"012906830";
"264";"Relatively swivelable plates for use between conventional vise jaws";"BAUER LOUIS R";"";"US2720126A";"1954-02-11";"B25B1/24";"B25B1/2436 (EP,US) 
B25B1/2452 (EP,US)";"1955-10-11";"1955-10-11";"023621127";
"265";"Milling machine bench vise";"CHASE DONALD [US] 
CHASE RUSSELL [US]";"";"US6164635A";"1999-05-21";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/2473 (EP,US)";"2000-12-26";"2000-12-26";"023228668";
"266";"Kein Titel verfügbar";"";"";"JPS579460U";"1980-06-14";"B25B1/10 
B25B1/10 
B25B1/12";"";"1982-01-18";"1982-01-18";"029445799";
"267";"AUTOMATIC STERITE WELDER FOR WOODWORKING BAND SAW";"FUJII YAKUTAKA";"FUJII YAKUTAKA";"JPS5639819A";"1979-09-05";"B23D65/00 
B23K5/18 
B23D65/00 
B23K5/18";"";"1981-04-15";"1981-04-15";"014626763";
"268";"Precision vise";"HOFFMAN FRANK [US]";"HOFFMAN FRANK [US]";"US4927126A";"1988-09-06";"B23Q1/04 
B25B1/10 
B25B1/22 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/22 (EP,US) 
B25B1/2484 (EP,US)";"1990-05-22";"1990-05-22";"022908604";
"269";"Self attaching, non-slipping, non-marring, long lasting, low cost, replaceable, soft, universal vise jaw covers";"HUDSON RICHARD C [US]";"";"US2002171191A1";"2001-03-09";"B25B1/24 
B25B1/24";"B25B1/241 (EP,US) 
B25B1/2452 (EP,US)";"2002-11-21";"2002-11-21";"026788919";
"270";"CONTOUR-CONFORMING CLAMPING DEVICE";"PEVAR MAXWELL";"PEVAR MAXWELL";"US3868102A";"1972-04-27";"B23Q3/00 
B25B1/24";"B25B1/2421 (EP,US)";"1975-02-25";"1975-02-25";"026930379";
"271";"Milling machine device";"SWENSON HENRY F";"";"US2978966A";"1956-06-12";"B25B1/22 
B25B1/24";"B25B1/22 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2463 (EP,US) 
B25B1/2473 (EP,US)";"1961-04-11";"1961-04-11";"024364136";
"272";"CYLINDER DEVICE";"WATANABE WATARU";"BESUTETSUKU KK";"JPS63260735A";"1987-04-20";"B23Q3/06 
B23Q3/06";"";"1988-10-27";"1988-10-27";"014170537";
"273";"Hydraulic flat tongs";"ZHIFENG LI [CN]";"LI ZHIFENG [CN]";"CN2243364Y";"1995-04-27";"B23Q3/06 
B23Q3/06";"";"1996-12-25";"1996-12-25";"033879617";
"274";"Clamping mechanism in a vise jaw accessory system for attaching and releasing vise accessories while maintaining positional accuracy of the accessories";"DURFEE DAVID L [US]";"DURFEE SUSAN M [US]";"US5150888A";"1986-12-15";"B25B1/00 
B25B1/24 
B25B1/24";"B25B1/24 (EP,US) 
B25B1/2452 (EP,US) 
B25B1/2463 (EP,US)";"1992-09-29";"1992-09-29";"027539859";
"275";"Chucking device";"HIESTAND KARL [DE]";"SMW SPANNEINRICHTUNGEN [DE]";"US5040806A";"1989-07-28";"B23B31/02 
B23B31/00 
B23B31/16";"B23B31/16283 (EP,US) 
Y10T279/19 (EP,US) 
Y10T279/1986 (EP,US)";"1991-08-20";"1991-01-30";"006386043";
"276";"METHOD AND APPARATUS FOR HANDLING AND CONVEYING A RELATIVELY LONG WORKPIECE";"REILEY BERTRAND MILES";"YOUNGSTOWN SHEET AND TUBE CO";"US3483959A";"1967-12-11";"B65G47/82 
B65G39/00";"B65G13/10 (EP,US) 
B65G39/02 (EP,US) 
B65G47/34 (EP,US) 
B65G2201/0276 (EP,US) 
Y10T83/2196 (EP,US)";"1969-12-16";"1969-12-16";"024769650";
"277";"GLEITENDE KLEMMVORRICHTUNG";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"EP0745191A1 
EP0745191A4 
EP0745191B1";"1994-02-25";"B25B1/08 
F16B19/00 
B25B5/08 
B25B5/10 
B25B5/08 
B25B5/10 
F16B5/02";"B25B5/08 (EP) 
B25B5/10 (EP) 
F16B5/025 (EP)";"1996-12-04 
1997-03-26 
2000-08-02";"1995-08-31";"022747332";
"278";"VICE";"TAI HAA YAN";"TAI HAA YAN";"JPS63150166A";"1986-12-15";"B25B1/02 
B25B1/02";"";"1988-06-22";"1988-06-22";"017861518";
"279";"VICE";"TEI TATSUO";"MARUBISHI GIKEN KK";"JPS609665A";"1983-06-27";"B25B1/24 
B25B1/24";"";"1985-01-18";"1985-01-18";"014668772";
"280";"Angle setting mechanism, in particular for vises";"ARNOLD FRANZ 
BOEHM OSCAR";"ARNOLD FRANZ 
BOEHM OSCAR";"US3958335A";"1973-11-23";"G01B3/56 
B23Q1/28 
B23Q3/10";"B23Q1/28 (EP,US) 
B23Q3/102 (EP,US)";"1976-05-25";"1975-06-20";"005902326";
"281";"VISE CLAMP";"KUBAN WILLIAM G";"KURT MFG COMPANY";"CA846065A";"";"";"";"1970-07-07";"1970-07-07";"036330284";
"282";"Apparatus for supporting multiple vise-like workholding devices";"SWANN GEORGE R [US] 
HARTMAN JAMES L [US] 
KREBS JAMES B [US]";"CHICK MACHINE TOOL INC [US]";"US5535995A";"1994-09-02";"B25B1/20 
B23Q3/10 
B25B1/24";"B23Q3/103 (EP,US) 
B25B1/2484 (EP,US) 
Y10S269/90 (EP)";"1996-07-16";"1996-07-16";"023159809";
"283";"Protective device for a machine tool";"NEWMAN RODNEY J [US] 
MCGUFFEY L WAYNE [US]";"NEWACT INC [US]";"US4867620A";"1988-10-13";"B23C9/00 
B23Q11/08 
B23Q11/08 
B23Q11/10";"B23Q11/08 (EP,US) 
B23Q11/10 (EP,US) 
Y10S29/05 (EP,US) 
Y10T408/50 (EP,US) 
Y10T409/30392 (EP,US) 
Y10T74/219 (EP,US)";"1989-09-19";"1989-09-19";"022974399";
"284";"Mechanical power amplifier, in particular for a machine vise";"ARNOLD FRANZ 
BOEHM OSCAR 
CENARUZZA IGNACIO";"ARNOLD FRANZ 
BOEHM OSCAR 
CENARUZZA IGNACIO";"US4073197A";"1975-04-22";"F16H21/44 
B25B1/10 
B25B1/24 
F16H21/44 
F16H25/18";"B25B1/106 (EP,US) 
F16H21/44 (EP,US) 
F16H25/183 (EP,US) 
Y10T74/18992 (EP,US)";"1978-02-14";"1976-01-29";"006651732";
"285";"Combined drill and mill vise";"DOWNING JOSEPH M";"";"US2402537A";"1943-03-16";"B23Q3/00 
B25B1/08";"B23Q3/00 (EP,US) 
B25B1/08 (EP,US) 
B23Q2703/00 (EP,US) 
Y10T408/563 (EP,US) 
Y10T408/567 (EP,US)";"1946-06-25";"1946-06-25";"023903794";
"286";"Vise handle with torque control";"FINK PAUL DAVID [US] 
TRUESDELL THOMAS BRUCE [US]";"";"US5683077A";"1996-05-10";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US)";"1997-11-04";"1997-11-04";"024586542";
"287";"고정 장치";"";"";"KR100551244B1 
KR19990029598A";"1997-09-08";"B25B1/02 
B25B1/10 
B25B1/24 
F16B2/12 
B23Q3/00 
B23Q3/06";"B23Q3/00 (KR) 
B23Q3/06 (KR) 
B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2484 (EP,US)";"1999-04-26 
2006-05-22";"1999-01-21";"008045693";
"288";"Werkstückspannmittel";"VERHOLEN MONIKA [DE]";"VERHOLEN MONIKA [DE]";"DE19840380A1";"1998-09-04";"B23Q3/02 
B25B11/00 
B25B1/24";"B25B1/2478 (EP) 
B25B1/2489 (EP)";"2000-03-09";"2000-03-09";"007879827";
"289";"Vise jaw quick change";"GARRISON ARTHUR L [US]";"";"US2004032071A1";"2002-08-19";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2452 (EP,US)";"2004-02-19";"2004-02-19";"031715222";
"290";"Hydraulically operated vise assembly";"DAVID BUTLER FRANK";"";"US2335258A";"1942-10-24";"B23Q3/08";"B23Q3/08 (EP,US) 
B23Q2703/04 (EP,US) 
Y10T29/513 (EP,US) 
Y10T409/309576 (EP,US)";"1943-11-30";"1943-11-30";"023839542";
"291";"NUMERICAL CONTROL DATA EDITING DEVICE AND EDITING METHOD OF NUMERICAL CONTROL DATA";"TAWARA HITOSHI 
KURIHARA HIDEO 
AOYAMA KOJI";"CANON KK";"JPH11165239A";"1997-12-05";"B23Q15/00 
G05B19/4093 
B23Q15/00 
G05B19/4093";"";"1999-06-22";"1999-06-22";"018408941";
"292";"Clamping device";"CHARLES WERMUTH 
HEINZ WAGNER 
FRANZ ARNOLD";"";"US3416784A";"1964-09-25";"B25B1/24";"B25B1/24 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2473 (EP,US)";"1968-12-17";"1968-07-31";"007126720";
"293";"PRODUCTION EQUIPMENT FOR BUILDING PANEL";"ANDO ITARU";"MISAWA HOMES CO";"JPH08132412A";"1994-11-10";"B23P21/00 
B27M3/00 
B23P21/00 
B27M3/00";"";"1996-05-28";"1996-05-28";"017570637";
"294";"Jaw of working anvil vice, universal vise, and machine vise";"BAOCHENG WANG [CN]";"WANG BAOCHENG [CN]";"CN2232338Y";"1995-10-11";"B25B1/24 
B25B1/24";"";"1996-08-07";"1996-08-07";"033871158";
"295";"ARTIFICIAL JOINT GRISTLE AND ITS PRODUCTION";"OOSU SEIRIMU NASHIEFU 
TATSUDO DANKAN KIYANPUBERU";"AMERICAN HOSPITAL SUPPLY CORP";"JPS6232965A";"1985-05-29";"A61L27/00 
A61F2/30 
A61F2/36 
A61F2/38 
A61L27/00 
A61L27/36 
A61F2/00";"A61F2/28 (EP,US) 
A61F2/30756 (EP,US) 
A61F2/36 (EP,US) 
A61F2/3603 (EP,US) 
A61F2/38 (EP,US) 
A61K35/32 (EP,US) 
A61L27/36 (EP,US) 
A61L27/3608 (EP,US) 
A61L27/3654 (EP,US) 
A61L27/3683 (EP,US) 
A61B17/86 (EP,US) 
A61F2/4644 (EP,US) 
A61F2002/2828 (EP,US) 
A61F2002/2839 (EP,US) 
A61F2002/30059 (EP,US) 
A61F2002/30205 (EP,US) 
A61F2002/30563 (EP,US) 
A61F2002/30957 (EP,US) 
A61F2002/30971 (EP,US) 
A61F2230/0067 (EP,US) 
Y10S623/908 (EP,US)";"1987-02-12";"1986-12-03";"024970368";
"296";"Automatic work piece changer for a milling machine and the like";"PAGE JEFFREY L";"PAGE JEFFREY L";"US4355938A";"1979-06-04";"B65G63/00 
B23Q7/10 
B65G59/06";"B23Q7/106 (EP,US) 
B65G59/067 (EP,US) 
Y10S414/114 (EP,US)";"1982-10-26";"1982-10-26";"021937323";
"297";"Affixation of vise jaw removable faceplates by keyhole apertures";"NEIL MICHAEL A [US]";"NEIL MICHAEL A [US]";"US4861010A";"1988-04-08";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2452 (EP,US)";"1989-08-29";"1989-08-29";"022655033";
"298";"AUTOMATIC VISE JAW";"NEWSWANGER P";"NEWSWANGER P";"US3792851A";"1972-04-07";"B23Q3/08 
B25B1/18";"B25B1/18 (EP,US)";"1974-02-19";"1974-01-25";"022913778";
"299";"Repeatable preset torquing force vise handle for producing repeatable clamping force in a vise";"DILLENBERGER ERIC [US] 
ADAMS CRAIG [US]";"PROTECH ENGINEERING [US]";"US6361442B1";"2000-01-19";"F16D7/02 
B25B1/24 
F16D7/04";"B25B1/24 (EP,US) 
F16D7/044 (EP,US)";"2002-03-26";"2002-03-26";"023935851";
