"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"277 Treffer gefunden für nftxt = ""maschinenschraubstock"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 277 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"174";"HYDRAULISCHER ARBEITSZYLINDER IN KURZHUBAUSFUEHRUNG";"TOELLNER SIEGFRIED [DD] 
MARTIN KLAUS [DD]";"NETZSCHKAU MASCHF NEMA [DD]";"DD262264A1";"1987-07-01";"F15B15/24 
F15B15/24";"";"1988-11-23";"1988-11-23";"005590286";
"175";"Kein Titel verfügbar";"";"";"DE8007194U1";"";"B23Q3/02 
B23Q3/02";"";"1980-06-12";"1980-06-12";"001326413";
"176";"ZUSATZBACKE FUER MASCHINENSCHRAUBSTOECKE";"HECKER HELMUT [DE]";"HILMA GMBH MASCHF [DE]";"DE3010096A1";"1980-03-15";"B23Q3/02 
B25B1/24";"B25B1/241 (EP) 
B25B1/2452 (EP)";"1981-09-24";"1981-09-24";"006097378";
"177";"Hydraulischer Mehrfachspanner";"ISENMANN HELMUT [DE]";"ISENMANN HELMUT [DE]";"DE19518881A1";"1995-05-23";"B25B11/00 
F15B15/08 
B25B1/24";"B25B1/2421 (EP) 
B25B1/2452 (EP)";"1996-11-28";"1996-11-28";"007762652";
"178";"Aufspannvorrichtung fuer Werkzeugmaschinentische";"";"WILLI PREWO";"DE1088319B";"1954-09-13";"B25B1/22";"B25B1/22 (EP)";"1960-09-01";"1960-09-01";"007364197";
"179";"PNEUMATISCHER SCHRAUBSTOCK MIT HYDRAULISCHEM KRAFTVERSTÄRKER";"PIVK JOZE [SI]";"PIVK JOZE [SI]";"EP1333961A1 
EP1333961B1";"2000-11-09";"B25B1/18 
B25B1/10 
B25B1/18";"B25B1/106 (EP) 
B25B1/18 (EP)";"2003-08-13 
2006-06-14";"2002-05-16";"020430905";
"180";"Klaviertaste mit Oberfläche aus Keramik";"TERRY HAMLYN GRAHAM [DE] 
HOFFMEISTER HANS DR [DE] 
JUNGHANS CLAAS [DE]";"HIPER CERAMICS GMBH [DE]";"DE19632409A1";"1996-08-02";"G10C3/12 
G10C3/12";"G10C3/125 (EP)";"1998-02-05";"1998-02-05";"007802382";
"181";"VORRICHTUNG ZUM ABSTUETZEN UND FESTSPANNEN VON ZU BEARBEITENDEN WERKSTUECKEN AUF EINEM MASCHINENTISCH ODER DERGLEICHEN";"SCHUMANN MANFRED [DE]";"ZIEL JOST [DE]";"DE3204107A1";"1982-02-06";"B23Q3/06 
B25B5/06 
B25B5/10";"B25B5/061 (EP) 
B25B5/106 (EP)";"1983-08-11";"1983-08-11";"006154974";
"182";"Schnellspannvorrichtung an einem Schraubstock";"FRITZ MORGENEGG [CH]";"LEHMANN PETER [CH]";"CH489337A";"1968-04-20";"B25B1/24 
B25B1/08";"B25B1/08 (EP)";"1970-04-30";"1970-02-12";"004302947";
"183";"Schraubstock";"OLSON ELMER THEODORE";"WILTON TOOL MFG CO INC";"DE1114748B";"1954-08-12";"B25B1/18";"B25B1/18 (EP)";"1961-10-05";"1961-10-05";"007595329";
"184";"VORRICHTUNG ZUM POSITIONIEREN UND SPANNEN VON WERKSTUECKEN";"STEINKE HERMANN O";"STEINKE HERMANN O";"DE2520611A1";"1975-05-09";"B23Q3/06 
B23Q1/26 
B23Q1/62";"B23Q1/26 (EP) 
B23Q1/621 (EP)";"1976-11-18";"1976-11-18";"005946119";
"185";"Hydraulische Spannvorrichtung";"KURZ MANFRED [DE]";"HOERBIGER HYDRAULIK [DE] 
HOERBIGER AUTOMATISIERUNGSTECH [DE]";"EP1236542A2 
EP1236542A3";"2001-02-14";"B25B5/06 
B25B1/18 
B25B5/06 
F15B11/02 
F15B15/14 
F15B15/18 
F15B15/20 
B25B1/18";"B25B1/18 (EP) 
B25B5/061 (EP) 
F15B11/022 (EP) 
F15B15/1409 (EP) 
F15B15/204 (EP)";"2002-09-04 
2007-06-06";"2002-09-04";"003669874";
"186";"Doppelbartschloss mit Zuhaltungspaket.";"MAUER GUENTER [DE]";"MAUER GMBH [DE]";"EP0549903A1";"1991-12-04";"E05B21/00 
E05B17/00 
E05B21/00 
E05B25/02";"E05B17/0004 (EP) 
E05B21/00 (EP)";"1993-07-07";"1993-06-09";"006446252";
"187";"SCHRAUBSTOCK, INSBESONDERE MASCHINENSCHRAUBSTOCK.";"";"HERMANN RUECKLE K G [DE]";"DE1905498U";"1964-07-11";"";"";"1964-11-26";"1964-11-26";"033368733";
"188";"Spannwerkzeug";"BINKE THOMAS [DE]";"BINKE THOMAS [DE]";"DE10144168A1 
DE10144168B4";"2001-09-07";"B25B5/14 
B25B5/16 
B25B1/24 
B25B5/16";"B25B1/241 (EP) 
B25B5/163 (EP)";"2003-03-27 
2005-11-24";"2003-03-27";"007698248";
"189";"Parallelschraubstock";"HENNINGER WILHELM";"WILHELM HENNINGER";"DE1094673B";"1956-01-09";"B25B1/24";"B25B1/24 (EP)";"1960-12-08";"1960-12-08";"007150150";
"190";"MATERIALANSCHLAG FUER SCHNEIDEMASCHINEN";"ANDERSSON KARL-AXEL";"ANDERSSON KARL AXEL";"DE2437701A1";"1973-08-06";"B26D7/16 
B23D47/06 
B26D7/01";"B23D47/06 (EP) 
B26D7/01 (EP)";"1975-02-13";"1975-02-07";"020318182";
"191";"Auswechselbare Backeneinsaetze bei Schraubstoecken";"MENGEL ELFRIED";"ELFRIED MENGEL FA";"DE808455C";"1949-12-15";"B25B1/24";"B25B1/2426 (EP)";"1951-07-16";"1951-07-16";"007290967";
"192";"AUSLEGERARM FUER SAEULENBOHRMASCHINEN";"ZACHER KARL-HEINZ [DE]";"ZACHER KARL HEINZ [DE]";"DE4223122A1";"1992-07-14";"B23B39/12 
B23B41/00 
B23B47/28 
B23Q1/28 
B23Q3/06";"B23Q1/28 (EP) 
B23Q3/069 (EP)";"1993-02-25";"1993-02-25";"006463174";
"193";"Mechanische Spannvorrichtung,insbesondere Maschinenschraubstock";"WERMUTH CHARLES 
WAGNER HEINZ";"GRESSEL AG 
ARNOLD FRANZ";"DE1812325A1";"1968-12-03";"B25B1/14 
B25B1/10 
B25B1/12";"B25B1/103 (EP,US) 
B25B1/106 (EP,US) 
B25B1/125 (EP,US)";"1970-07-23";"1970-07-23";"005715039";
"194";"Kein Titel verfügbar";"";"";"DE9102522U1";"1991-03-02";"B25B1/22 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/2405 (EP) 
B25B1/2478 (EP)";"1991-05-23";"1991-05-23";"006864859";
"195";"Spannpratze.";"WURTHELE ADOLF";"GRESSEL AG [CH]";"EP0325738A2 
EP0325738A3 
EP0325738B1";"1988-01-26";"B23Q3/06 
B25B5/10 
B23Q3/06 
B25B5/10";"B25B5/106 (EP) 
B25B5/107 (EP)";"1989-08-02 
1990-03-07 
1992-05-13";"1988-11-03";"006345932";
"196";"VERFAHREN ZUM SPANNEN VON WERKSTUECKEN";"KAYSER-HEROLD UWE DIPL ING";"KAYSER HEROLD UWE";"DE2204579A1";"1972-02-01";"B23Q3/06 
B23Q3/06";"B23Q3/066 (EP)";"1973-08-09";"1973-08-09";"005834641";
"197";"Prägeverfahren";"PIETSCH MANFRED [DE]";"FORSCHUNGSZENTRUM JUELICH GMBH [DE]";"DE19806071A1 
DE19806071C2";"1998-02-14";"B41M1/24 
B44C1/24 
B44C1/10";"B44C1/105 (EP)";"1999-08-19 
2003-02-27";"1999-08-19";"007857717";
"198";"ZENTRIERKOERPER FUER DIE MONTAGE EINER MEHRTEILIGEN BOLZENARTIG AUSGEBILDETEN ZENTRIER- UND SPANNSCHRAUBEN-VORRICHTUNG";"SPREITZER JOHANN [DE]";"SPREITZER JOHANN";"DE3420660A1";"1984-06-02";"B23Q3/02 
B29C45/26 
B23Q3/10 
B29C45/26";"B23Q3/103 (EP) 
B29C45/2606 (EP)";"1985-12-05";"1985-12-05";"006237513";
"199";"ALS FERTIGUNGSHILFSMITTEL DIENENDE ARBEITSVORRICHTUNG";"KOEBLIN ROLF";"MAUSER SCHAERER GMBH";"DE2408350A1 
DE2408350B2";"1974-02-21";"B23Q3/02 
B23Q3/10";"B23Q3/103 (EP,US) 
Y10S269/90 (EP,US)";"1975-08-28 
1976-10-14";"1975-06-16";"005908081";
"200";"Spannbacken fuer eine Spannvorrichtung fuer Werkstuecke";"REICHART ANTON";"ANTON REICHART";"DE828943C";"1950-06-25";"B23Q3/06";"B23Q3/061 (EP) 
B23Q2703/08 (EP)";"1952-01-21";"1952-01-21";"007396047";
"201";"SPANNEINRICHTUNG, INSBESONDERE MASCHINENSCHRAUBSTOCK";"HEINE WERNER";"KESEL GEORG GMBH & CO KG";"DE2909451A1 
DE2909451C2";"1979-03-10";"B23Q3/06 
B25B1/18 
B23Q3/06 
B25B1/10";"B23Q3/066 (EP) 
B25B1/106 (EP)";"1980-09-11 
1982-06-16";"1980-09-11";"006065021";
"202";"Zentrischspanner für zubearbeitete Werkstücke mit 2 Niederzugspanner, elektromechanisch mit dem Losteil, mit Akku-Doppeldrehschrauber angetrieben";"GUNTER ERICH [DE]";"GUNTER ERICH [DE]";"DE4413915A1 
DE4413915C2";"1994-04-21";"B23Q3/06 
B25B1/00 
B23Q3/18";"B23Q3/183 (EP)";"1995-05-04 
1995-11-30";"1995-05-04";"006516071";
"203";"PARALLELSCHRAUBSTOCK";"";"LICENTIA GMBH [DE]";"DE6607128U";"1963-11-25";"";"";"1971-01-21";"1971-01-21";"006586758";
"204";"TEILAPPARAT ZUR VERWENDUNG AUF ARBEITSTISCHEN VON BOHR- UND FRAESMASCHINEN";"ERDRICH OTTO";"ERDRICH OTTO";"DE2220198A1";"1972-04-25";"B23Q17/04 
B23Q16/06";"B23Q16/06 (EP)";"1973-11-08";"1973-11-08";"005843190";
"205";"Vorrichtung zum Festklemmen eines um einen senkrechten Drehzapfen verdrehbaren Schraubstockkörpers in der eingestellten Lage";"ELIAS NAPOLEON EKLUND [SE] 
PER ALDRIN [SE]";"E N EKLUNDS MEK VERKSTAD AB [SE]";"CH381178A";"1959-05-16";"B23Q1/28 
B25B1/22";"B23Q1/28 (EP) 
B25B1/22 (EP)";"1964-08-14";"1960-09-01";"020264818";
"206";"Spaeneauffangblech fuer Fraesmaschinen";"BORM SIEGFRIED 
GROETZNER PETER";"BORM SIEGFRIED 
GROETZNER PETER";"DE2916879B1 
DE2916879C2";"1979-04-26";"B23C9/00 
B23Q11/00";"B23Q11/0053 (EP)";"1980-06-04 
1981-09-03";"1980-06-04";"006069304";
"207";"Spannfutter.";"WERNER ROTH [CH]";"ROTH WERNER [CH]";"CH272884A";"1949-06-10";"B23B31/36";"B23B31/36 (EP) 
B23B2260/088 (EP)";"1951-01-15";"1951-01-15";"004478974";
"208";"Spannvorrichtung";"FRANZ ARNOLD [DE] 
HEINZ WAGNER [CH] 
CHARLES WERMUTH [CH]";"ARNOLD FRANZ [DE]";"CH424674A";"1964-04-07";"B25B 
B25B1/10 
B25B1/14";"B25B1/106 (EP,US) 
B25B1/14 (EP,US)";"1966-11-15";"1965-10-08";"006934847";
"209";"PNEUMATISCH ANGETRIEBENE SPANNVORRICHTUNG.";"ZIMMERMANN HANNS 
PREISENHAMMER PETER";"SAURER ALLMA GMBH";"CH654779A5";"1980-10-22";"B23Q3/08 
B25B1/14 
B25B1/18";"B25B1/18 (EP,US)";"1986-03-14";"1982-04-23";"006719920";
"210";"Ausgleichsbacke";"";"GRUESING HOLGER [DE]";"DE29722501U1";"1997-12-19";"B23Q3/06 
B25B1/20 
B25B1/24";"B25B1/2436 (EP) 
B25B1/2452 (EP)";"1998-05-07";"1998-05-07";"008050242";
"211";"Mehrfachspanner";"WUERTHELE ADOLF [CH]";"GRESSEL AG AADORF [CH]";"DE10302255A1";"2003-01-22";"B25B1/02 
B25B1/12 
B25B1/24 
B25B1/24";"B25B1/2478 (EP)";"2004-08-05";"2004-08-05";"032667721";
"212";"HOHLSPINDEL FUER SPANNGERAETE, INSBESONDERE MASCHINENSCHRAUBSTOECKE MIT DRUCKVERSTAERKER";"PREISENHAMMER PETER";"SAURER ALLMA GMBH";"DE2262383A1 
DE2262383B2";"1972-12-20";"B25B1/10 
B25B1/00 
B25B1/10 
B25B1/24";"B25B1/106 (EP,US)";"1974-07-04 
1976-02-19";"1974-07-04";"005864965";
"213";"Spannvorrichtung mit mechanischem Kraftverstärker.";"RUEGG WALTER";"GRESSEL AG [CH]";"EP0305724A1 
EP0305724B1";"1987-09-01";"B25B1/14 
B23B31/02 
B25B1/10 
B25B1/14 
F16H21/54";"B25B1/106 (EP,US) 
B25B1/14 (EP,US) 
F16H21/54 (EP,US)";"1989-03-08 
1991-06-19";"1988-12-01";"006334920";
"214";"Spannantrieb, insbesondere für Maschinenschraubstöcke.";"MILZ PANKRAZ [DE]";"SAURER ALLMA GMBH [DE]";"EP0525501A1 
EP0525501B1";"1991-08-02";"B25B1/10 
B25B1/10";"B25B1/00 (KR) 
B25B1/106 (EP)";"1993-02-03 
1995-08-30";"1993-02-03";"006437548";
"215";"Kein Titel verfügbar";"";"";"DE8910848U1";"1989-09-12";"B23Q3/02 
B25B1/24 
B25B1/24";"B25B1/2463 (EP)";"1989-11-16";"1989-11-16";"006842762";
"216";"Verfahren zur Montage und zum Austausch grosser Turbinengehäuseteile.";"KARAUS HELMUT [CH]";"ABB MANAGEMENT AG [CH]";"EP0647769A1";"1993-10-07";"F01D25/24 
F01D25/24";"F01D25/24 (EP) 
F01D25/243 (EP) 
F05D2230/60 (EP) 
F05D2230/64 (EP)";"1995-04-12";"1995-04-12";"008213328";
"217";"Schraubstock-Untersatz.";"FRIEDRICH SINZIG [CH]";"SINZIG FRIEDRICH [CH]";"CH260930A";"1946-12-24";"B25B1/22";"B25B1/22 (EP)";"1949-04-15";"1949-04-15";"004473732";
"218";"SPANNSTOCK";"AGETHEN FRANZ";"F & R AGETHEN";"DE2132539A1";"1971-06-30";"B25B1/18 
B23Q3/06 
B25B1/18";"B23Q3/066 (EP) 
B25B1/18 (EP)";"1973-01-11";"1973-01-11";"005812257";
"219";"Work screw vice for machine tools - has ground side face on body forming extra third support surface";"SCHAER PAUL";"GREMOLITH AG";"CH676213A5";"1988-07-12";"B23Q3/02 
B25B1/24";"B25B1/24 (EP) 
B25B1/2405 (EP) 
B25B1/2463 (EP) 
B25B1/2473 (EP)";"1990-12-28";"1989-06-15";"004238689";
"220";"SCHNELLSPANNVORRICHTUNG FUER PARALLEL- UND MASCHINENSCHRAUBSTOECKE";"ROUX PIERRE";"ROUX PIERRE";"DE2634995A1 
DE2634995C2";"1975-08-08";"B23Q3/02 
B25B1/08 
B25B1/08";"B25B1/08 (EP)";"1977-02-17 
1985-06-20";"1976-11-16";"009159071";
"221";"Schraubstock";"HAVAS ALFRED";"ALFRED HAVAS";"DE1201270B";"1961-11-28";"B25B1/24";"B25B1/2463 (EP)";"1965-09-16";"1965-09-16";"007155438";
"222";"Werkstückspannmittel";"VERHOLEN MONIKA [DE]";"VERHOLEN MONIKA [DE]";"DE19955910A1";"1999-11-20";"B23Q3/02 
B24B41/06 
B25B1/24 
B25B11/00 
B25B1/24";"B25B1/2478 (EP)";"2001-05-23";"2001-05-23";"007929761";
"223";"ZENTRIERKOERPER FUER DIE MONTAGE EINER MEHRTEILIGEN BOLZENARTIG AUSGEBILDETEN ZENTRIER- UND SPANNSCHRAUBEN-VORRICHTUNG";"";"";"DE8416923U1";"1984-06-02";"B23Q3/02 
B29F1/022 
B29C45/26";"B29C45/2606 (EP)";"1984-12-06";"1984-12-06";"006767545";
"224";"Vorrichtung zur Ausrichtung und Anbringung der Dachrinnenhaken an der Dachtraufe";"";"PLOTTEK HEIZUNGS LUEFTUNGSTECH [DE]";"DE10119152C1";"2001-04-19";"E04D13/072 
E04D13/072";"E04D13/0722 (EP)";"2002-12-12";"2002-12-12";"007681949";
"225";"Vorrichtung zur Herstellung von Kurvenscheiben";"SCHREITMUELLER HEINZ L";"HEINZ L SCHREITMUELLER";"DE959781C";"1955-04-01";"B23C3/08 
B25H7/00";"B23C3/08 (EP) 
B25H7/00 (EP)";"1957-03-14";"1957-03-14";"007428001";
"226";"Schnellspannschraubstock, insbesondere Parallelschraubstock zur Verwendung auf Werkbaenken";"SONNTAG FRANCOIS";"JUSTIN FRANCOIS SCHMIDLIN 
FRANCOIS SONNTAG";"DE1001197B";"1953-11-11";"B25B1/12";"B25B1/125 (EP)";"1957-01-17";"1957-01-17";"009560967";
"227";"Einspannvorrichtung fuer mehrere zu gleicher Zeit zu bearbeitende Teile aus Holz oder aehnlichem Material";"";"FRANZ FUCHS MASCHINEN U APPBAU";"DE457541C";"1927-04-14";"B23Q1/26 
B23Q1/52 
B23Q35/10 
B27C5/00";"B23Q1/265 (EP) 
B23Q1/52 (EP) 
B23Q35/104 (EP) 
B27C5/003 (EP)";"1928-03-19";"1928-03-19";"007109769";
"228";"Spannvorrichtung";"SELBY JAMES";"ELLIOTT & CO LTD B";"DE1167756B";"1955-11-22";"B25B1/24";"B25B1/2405 (EP) 
B25B1/2489 (EP)";"1964-04-09";"1964-04-09";"010879229";
"229";"Verfahren und Vorrichtung zum Befestigen von Werkstücken zur Bearbeitung auf Aufspanntischen von Werkzeugmaschinen";"RIEDEL ARNO DIPL ING [DE]";"RIEDEL ARNO DIPL ING [DE]";"DE19619088A1";"1996-04-30";"B23Q3/06 
B25B11/00 
B25B1/10 
B25B5/10 
B25B5/16";"B25B1/10 (EP) 
B25B5/10 (EP) 
B25B5/163 (EP)";"1997-11-13";"1997-11-13";"007794077";
"230";"Kein Titel verfügbar";"";"";"DE8800873U1";"1988-01-26";"B23Q3/06 
B25B5/10";"B25B5/106 (EP) 
B25B5/107 (EP)";"1989-05-24";"1989-05-24";"006819945";
"231";"Kraftspindel für Schraubstöcke u.dgl. Spanneinrichtungen";"";"KUCHAR BENJAMIN [SK]";"DE29512709U1";"1994-07-27";"B25B1/10 
B25B5/10 
B25B1/10 
B25B1/12 
B66F3/12";"B25B1/103 (EP) 
B25B1/125 (EP) 
B66F3/12 (EP)";"1995-10-12";"1995-10-12";"020433373";
"232";"Handwerkzeug";"HOPFENMUELLER GEORG [DE] 
LOESCHAN GEROLD [DE]";"BAYERISCHE MOTOREN WERKE AG [DE]";"DE10249914A1 
DE10249914B4";"2002-10-26";"B25B1/10 
B25B1/24 
B25B11/00 
B25B27/00 
B25B27/00 
B25B27/28 
F16H7/24";"B25B27/0035 (EP) 
B25B27/28 (EP) 
F16H7/24 (EP)";"2004-05-13 
2005-04-14";"2004-05-13";"032103045";
"233";"SCHNELLSPANNMASCHINENSCHRAUBSTOCK.";"";"SCHOEN & CIE G M B H [DE]";"DE1684418U";"1952-05-15";"";"";"1954-10-07";"1954-10-07";"032101987";
"234";"BEFESTIGUNGSEINRICHTUNG FUER WERKZEUGE AN WERKZEUGMASCHINEN, INSBESONDERE FUNKENEROSIONSMASCHINEN";"RAMSBRO BOERJE";"SYSTEM 3 R AB";"DE2632435A1 
DE2632435C2";"1976-07-19";"B23B31/04 
B23P1/12 
B23B31/00 
B23B31/107";"B23B31/008 (EP) 
B23B31/1072 (EP) 
B23B2260/136 (EP)";"1978-01-26 
1982-12-23";"1978-01-26";"005983385";
"235";"Linearführung";"KRAUSE LUDWIG MATHAEUS DIPL IN [DE] 
KRAUSE LUDWIG MATHAEUS [DE]";"HILMA ROEMHELD GMBH [DE]";"DE19756695A1 
DE19756695C2";"1997-12-19";"B23Q1/26 
B23Q3/02 
B25B1/24 
B23Q1/58 
B25B1/24";"B23Q1/58 (EP) 
B25B1/2489 (EP)";"1999-07-01 
2003-04-17";"1999-07-01";"007852627";
"236";"Kein Titel verfügbar";"";"";"DE8807050U1";"1988-05-30";"B25B1/24 
B25B1/24";"B25B1/2452 (EP) 
B25B1/2478 (EP)";"1988-10-20";"1988-10-20";"006824539";
"237";"Werkstückspannmittel";"VERHOLEN MONIKA [DE]";"VERHOLEN MONIKA [DE]";"DE19840380A1";"1998-09-04";"B23Q3/02 
B25B11/00 
B25B1/24";"B25B1/2478 (EP) 
B25B1/2489 (EP)";"2000-03-09";"2000-03-09";"007879827";
"238";"Schraubstock aus Metall, bestehend aus einem feststehenden Schlittenbett und einem darauf verschieblich angeordneten Schlitten";"JOOS MANFRED [DE]";"JOOS MANFRED [DE]";"DE4325475A1 
DE4325475C2";"1993-02-02";"B23Q3/02 
B25B1/10 
B25B1/24 
B23Q1/26 
B25B1/24 
F16C29/02";"B23Q1/262 (EP) 
B25B1/2484 (EP) 
B25B1/2489 (EP) 
F16C29/02 (EP) 
F16C2322/39 (EP)";"1994-08-11 
1995-08-03";"1994-08-11";"027204716";
"239";"WERKBANK";"MEYER HEINZ [DE]";"MEYER MASCHINENBAU UND METALLV [DE]";"DE3109692A1";"1981-03-13";"B25H1/02 
B25H1/00 
B25H1/08";"B25H1/00 (EP) 
B25H1/08 (EP)";"1982-09-23";"1982-09-23";"006127168";
"240";"VORRICHTUNG ZUM EINRICHTEN UND SPANNEN VON WERKSTUECKEN";"BRUNS WERNER [DE] 
EICKHORST HELMUT [DE] 
WILKEN ENNO [DE]";"AIRBUS GMBH [DE]";"DE4017983A1 
DE4017983C2";"1990-06-05";"B25B11/00 
B23Q1/03 
B23Q1/54 
B23Q3/02 
B23Q3/08 
B25B11/00";"B23Q1/035 (EP,US) 
B23Q1/5406 (EP,US) 
B25B11/005 (EP,US) 
Y10T279/11 (EP,US)";"1991-12-12 
1992-03-26";"1991-12-11";"006407812";
"241";"HOCHDRUCKSPANNER";"KRAUSE LUDWIG DIPL ING [DE]";"SAURER ALLMA GMBH [DE]";"DE3437403A1 
DE3437403C2";"1984-10-12";"B23Q3/02 
B25B1/18 
B23Q3/06 
B25B1/10 
B25B1/12 
B25B1/18";"B23Q3/06 (KR) 
B25B1/106 (EP,US) 
B25B1/18 (KR)";"1986-04-24 
1993-04-15";"1986-04-10";"006247695";
"242";"ARBEITSSTAENDER FUER ELEKTRISCHE HEIMWERKERMASCHINEN";"";"";"DE8123118U1";"1981-08-06";"B23B45/14 
B25H1/10 
B23B45/14 
B25H1/10";"";"1981-12-10";"1981-12-10";"006730170";
"243";"Vorrichtung zum Befestigen von Riemenverbindern aus in Reihe angeordneten Verbinderklammern auf den Gurtbandenden von Transportgurten";"SCHICK JEAN FRANCOIS [FR]";"GORO SA [FR]";"DE4343384A1 
DE4343384C2";"1993-12-18";"B65G15/32 
F16G3/09 
F16G3/16 
F16G3/04 
F16G3/16";"F16G3/04 (EP,US) 
F16G3/16 (EP,US) 
Y10T24/1672 (EP,US) 
Y10T29/49835 (EP,US) 
Y10T29/49957 (EP,US) 
Y10T29/5343 (EP,US) 
Y10T29/53713 (EP,US)";"1995-06-29 
1996-02-08";"1995-06-23";"006505467";
"244";"Mechanische Spannvorrichtung zur Erzeugung einer hohen Spannkraft";"ARNOLD FRANZ";"ARNOLD FRANZ";"DE1283168B";"1964-12-01";"B25B1/10";"B25B1/106 (EP)";"1968-11-14";"1968-11-14";"006935955";
"245";"Vorrichtung für Spanngut in einer Spannvorrichtung";"";"KITTEL GERALD [DE] 
LANDER GERALD [DE]";"DE20204591U1";"2002-03-22";"B23Q3/02 
B25B1/24 
B25B1/24";"B25B1/2463 (EP)";"2002-07-11";"2002-07-11";"007969271";
"246";"VORRICHTUNG ZUR HALTERUNG EINES WINKELSCHLEIFERS";"";"";"DE8031148U1";"1980-11-22";"B24B23/02 
B24B23/02";"";"1981-07-02";"1981-07-02";"006720792";
"247";"Verstell- und Positioniereinrichtung für Werkzeugmaschinensysteme";"WIEMERS KARL-HEINZ DIPL ING [DE] 
WIEMERS KARL-HEINZ [DE]";"WIEMERS KARL HEINZ DIPL ING [DE] 
WIEMERS KARL HEINZ [DE]";"DE19646096A1 
DE19646096C2";"1996-11-08";"B23Q1/32 
B23Q1/54 
B23Q3/00 
B23Q1/32 
B23Q1/48 
B23Q3/18 
B23Q7/00 
B23Q7/02";"B23Q1/32 (EP) 
B23Q1/4828 (EP) 
B23Q3/183 (EP) 
B23Q7/005 (EP) 
B23Q7/02 (EP)";"1998-05-14 
2001-08-23";"1998-05-14";"007811036";
"248";"Vorrichtung zum zentrierten Spannen von Werkstücken oder dergleichen";"WILHELM JOACHIM [DE] 
BEILHARZ WERNER [DE]";"HICO HIMMEL & CO KG [DE]";"DE19845576A1 
DE19845576C2";"1998-06-30";"B23Q3/02 
B25B11/00 
B25B1/18 
B25B1/08 
B25B1/18 
B25B1/24 
B25B5/06 
B25B5/08";"B25B1/08 (EP) 
B25B1/18 (EP) 
B25B1/2405 (EP) 
B25B5/061 (EP) 
B25B5/087 (EP)";"2000-01-05 
2003-04-10";"1998-09-17";"008059224";
"249";"Mechanischer Kraftverstärker.";"KRAUSE LUDWIG DIPL-ING FH";"SAURER ALLMA GMBH [DE]";"EP0281934A1 
EP0281934B1";"1987-03-12";"B23Q3/06 
B23B31/00 
B23Q3/06 
B25B1/08 
B25B1/10 
F16H25/00 
F16H25/18 
G05G7/02";"B25B1/106 (EP,US) 
F16H21/44 (KR) 
F16H25/183 (EP,US) 
Y10T74/18992 (EP,US)";"1988-09-14 
1992-02-12";"1988-09-14";"006322909";
"250";"Spannvorrichtung fuer Werkstuecke";"SCHEIDT GUENTER";"SCHEIDT GUENTER";"DE2131378A1";"1971-06-24";"B25B1/22";"B25B1/22 (EP)";"1972-12-28";"1972-12-28";"005811690";
"251";"Tiefziehspanner für Spannvorrichtungen an Werkstückbearbeitungsmaschinen";"STARK EMIL [AT]";"STARK EMIL [AT]";"DE4341744A1 
DE4341744C2";"1993-12-08";"B23Q3/06 
B23Q7/00 
B25B11/00 
B25B1/24 
B25B1/10 
B25B1/24 
B25B5/08 
B25B5/10";"B25B1/10 (EP) 
B25B1/2473 (EP) 
B25B5/08 (EP) 
B25B5/10 (EP)";"1995-06-14 
2001-04-19";"1995-06-14";"006504416";
"252";"VERFAHREN UND VORRICHTUNG ZUR KONTROLLE BEIM POSITIONIEREN VON SPINDELACHSEN NACH ANRISSLINIEN";"STEINKE HERMANN O";"STEINKE HERMANN O";"DE2444969A1";"1974-09-20";"B23B49/00 
B23B49/04 
B23Q17/22";"B23B49/04 (EP) 
B23Q17/2258 (EP)";"1976-04-01";"1976-04-01";"005926306";
"253";"DRUCKFLUID BEAUFSCHLAGBARE, VERRIEGELBARE SPANNZYLINDER-KOLBENEINHEIT.";"CHROMIK KAREL";"BIERI AG LIEBEFELD H";"CH663826A5";"1987-02-26";"B23Q3/08 
B25B1/18 
F15B15/26 
B23B31/30 
B25B1/18 
B25B5/06 
B25B5/08 
B29C33/30 
F15B15/26";"B23B31/302 (EP) 
B25B1/18 (EP) 
B25B5/061 (EP) 
B25B5/087 (EP) 
B29C33/305 (EP) 
F15B15/261 (EP)";"1988-01-15";"1988-01-15";"004193702";
"254";"Werkstückspannmittel";"VERHOLEN GUENTER [DE]";"VERHOLEN GUENTER [DE]";"DE19546475A1";"1995-12-13";"B23Q3/02 
B24B41/06 
B25B11/00 
B24B41/06 
B25B1/24";"B24B41/06 (EP) 
B25B1/2478 (EP)";"1997-06-19";"1997-06-19";"007779968";
